date,cash,positions_value,total_value,net_value,return,600036return,600036dividend,000333return,000333dividend,601919return,601919dividend,000858return,000858dividend,002602return,002602dividend,002555return,002555dividend,002466return,002466dividend,002460return,002460dividend,002738return,002738dividend
20240716,572124.6658000001,488960.0,1061084.6658,1.0610846658000002,61084.665800000075,-4022.059999999994,9349.2,34119.967200000014,11880.0,47703.46560000001,7459.200000000001,-16716.707000000017,2942.1000000000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240717,572124.6658000001,485672.0,1057796.6658,1.0577966658,57796.665800000075,-3238.059999999994,9349.2,30663.967200000014,11880.0,44791.46560000001,7459.200000000001,-14420.707000000015,2942.1000000000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240718,572124.6658000001,489206.0,1061330.6658,1.0613306658000001,61330.665800000075,-3182.0599999999795,9349.2,33231.967200000014,11880.0,45463.46560000001,7459.200000000001,-14182.707000000015,2942.1000000000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240719,572124.6658000001,489662.0,1061786.6658,1.0617866658000001,61786.665800000075,-2734.059999999994,9349.2,32511.967200000014,11880.0,44567.46560000001,7459.200000000001,-12558.70700000003,2942.1000000000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240722,572124.6658000001,484974.0,1057098.6658,1.0570986658000001,57098.665800000075,-5282.0599999999795,9349.2,32583.967200000014,11880.0,43895.46560000001,7459.200000000001,-14098.707000000015,2942.1000000000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240723,572124.6658000001,478544.0,1050668.6658,1.0506686658000002,50668.665800000075,-5282.0599999999795,9349.2,29583.967200000014,11880.0,43559.46560000001,7459.200000000001,-17192.707000000017,2942.1000000000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240724,572124.6658000001,471610.0,1043734.6658000001,1.0437346658000002,43734.665800000075,-5730.059999999994,9349.2,24063.967200000014,11880.0,43111.46560000001,7459.200000000001,-17710.707000000017,2942.1000000000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240725,572124.6658000001,466898.0,1039022.6658000001,1.0390226658000001,39022.665800000075,-6710.059999999994,9349.2,22431.967200000014,11880.0,41207.46560000001,7459.200000000001,-17906.707000000017,2942.1000000000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240726,572124.6658000001,473376.0,1045500.6658000001,1.0455006658000001,45500.665800000075,-7998.059999999994,9349.2,30687.967200000014,11880.0,40423.46560000001,7459.200000000001,-17612.707000000017,2942.1000000000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240729,572124.6658000001,474914.0,1047038.6658000001,1.0470386658000002,47038.665800000075,-7774.0599999999795,9349.2,30783.967200000014,11880.0,43111.46560000001,7459.200000000001,-19082.707000000017,2942.1000000000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
